county,fips,"low risk 0-4","low risk 5-24","low risk 25-49","low risk 50-64","low risk 65+","high risk 0-4","high risk 5-24","high risk 25-49","high risk 50-64","high risk 65+","first responder 0-4","first responder 5-24","first responder 25-49","first responder 50-64","first responder 65+","pregnant 0-4","pregnant 5-24","pregnant 25-49","pregnant 50-64","pregnant 65+"
Loving,301,3,15,14,21,6,0,2,4,11,6,0,0,0,0,0,0,0,0,0,0
Lubbock,303,18547,80979,64688,29506,14403,1621,11318,15833,15002,16219,0,0,4967,0,0,0,2555,3193,0,0
Lynn,305,403,1376,1352,767,439,35,196,327,390,494,0,0,42,0,0,0,40,54,0,0
Madison,313,754,3201,3812,1491,894,66,480,985,758,1007,0,0,72,0,0,0,68,76,0,0
Marion,315,504,1831,2193,1804,1068,44,256,547,917,1202,0,0,55,0,0,0,58,67,0,0
Martin,317,360,1268,1117,558,278,32,210,316,284,313,0,0,53,0,0,0,7,3,0,0
Mason,319,184,730,754,647,460,16,29,107,329,519,0,0,33,0,0,0,96,108,0,0
Matagorda,321,2370,8777,8359,5017,2469,207,1446,2299,2550,2780,0,0,303,0,0,0,58,67,0,0
Maverick,323,4379,16313,12656,5395,2694,383,2752,3487,2743,3033,0,0,322,0,0,0,43,58,0,0
McCulloch,307,493,1733,1716,1199,774,43,285,453,609,871,0,0,62,0,0,0,12,33,0,0
McLennan,309,15304,65383,54028,26583,13762,1338,8985,12796,13515,15497,0,0,2778,0,0,0,2217,2720,0,0
McMullen,311,26,121,136,108,88,2,13,37,55,99,0,0,11,0,0,0,8,3,0,0
Medina,325,2732,11206,11051,6149,2921,239,1625,2652,3127,3289,0,0,278,0,0,0,295,442,0,0
Menard,327,118,375,403,353,283,10,54,103,180,319,0,0,21,0,0,0,10,13,0,0
Midland,329,10117,34353,34150,16694,7109,884,4602,8041,8487,8005,0,0,1461,0,0,0,1283,1686,0,0
Milam,331,1562,5658,5394,3350,2025,136,781,1303,1703,2280,0,0,162,0,0,0,188,215,0,0
Mills,333,274,1005,962,682,545,24,147,233,347,613,0,0,39,0,0,0,25,40,0,0
Mitchell,335,451,2104,2763,1086,580,39,296,706,552,653,0,0,47,0,0,0,64,62,0,0
Montague,337,1135,4025,4282,2778,1825,99,540,1044,1412,2055,0,0,196,0,0,0,149,179,0,0
Montgomery,339,30553,110098,120713,57398,22297,2671,15938,28570,29182,25107,0,0,4628,0,0,0,2924,5667,0,0
Moore,341,1865,6080,5557,2237,991,163,809,1291,1138,1116,0,0,155,0,0,0,233,269,0,0
Morris,343,769,2689,2839,1818,1179,67,377,676,925,1327,0,0,66,0,0,0,84,118,0,0
Motley,345,58,230,216,172,154,5,34,52,88,174,0,0,12,0,0,0,5,10,0,0
Nacogdoches,347,4078,20158,13480,6983,3585,356,2816,3261,3550,4037,0,0,913,0,0,0,637,670,0,0
Navarro,349,3200,11698,11135,5963,3228,280,1607,2661,3031,3635,0,0,408,0,0,0,397,492,0,0
Newton,351,772,3216,3455,2011,1102,68,461,852,1022,1240,0,0,50,0,0,0,90,106,0,0
Nolan,353,1037,3532,3326,2009,1185,91,492,799,1021,1334,0,0,132,0,0,0,113,145,0,0
Nueces,355,22141,84740,82719,42567,19244,1935,11464,19907,21642,21669,0,0,5069,0,0,0,3054,4072,0,0
Ochiltree,357,876,2718,2619,1071,497,77,376,623,545,559,0,0,63,0,0,0,90,109,0,0
Oldham,359,92,611,426,265,120,8,97,107,135,135,0,0,30,0,0,0,8,18,0,0
Orange,361,4936,18936,20142,10854,5396,431,2611,4895,5518,6077,0,0,629,0,0,0,633,779,0,0
Palo Pinto,363,1767,6266,6302,3875,2155,154,848,1559,1970,2427,0,0,315,0,0,0,225,248,0,0
Panola,365,1415,5431,5527,3274,1743,124,788,1366,1665,1962,0,0,169,0,0,0,142,190,0,0
Parker,367,6754,27501,29701,15985,6718,590,3984,7241,8127,7565,0,0,913,0,0,0,727,1121,0,0
Parmer,369,839,2793,2467,1085,576,73,399,599,551,648,0,0,67,0,0,0,79,93,0,0
Pecos,371,1082,3440,4301,1906,857,95,467,1047,969,964,0,0,101,0,0,0,122,156,0,0
Polk,373,2402,8975,10713,6337,4067,210,1235,2675,3222,4579,0,0,349,0,0,0,303,346,0,0
Potter,375,9496,30273,29641,13519,6181,830,3976,7529,6873,6961,0,0,3154,0,0,0,1211,1429,0,0
Presidio,377,524,1951,1693,923,653,46,264,369,470,736,0,0,20,0,0,0,70,99,0,0
Rains,379,528,2145,2329,1710,1046,46,308,569,869,1177,0,0,48,0,0,0,59,80,0,0
Randall,381,7558,29844,30238,15080,7093,661,4289,7233,7667,7986,0,0,963,0,0,0,824,1289,0,0
Reagan,383,255,870,844,406,164,22,118,203,207,185,0,0,27,0,0,0,31,35,0,0
Real,385,149,576,585,552,401,13,74,141,280,452,0,0,33,0,0,0,25,28,0,0
Red River,387,666,2501,2732,1897,1276,58,341,681,964,1436,0,0,122,0,0,0,87,99,0,0
Reeves,389,841,3237,4035,1460,778,73,452,1017,742,876,0,0,66,0,0,0,103,103,0,0
Refugio,391,410,1623,1563,1026,677,36,223,382,521,763,0,0,46,0,0,0,55,58,0,0
Roberts,393,67,190,211,131,70,6,26,52,67,79,0,0,14,0,0,0,7,9,0,0
Robertson,395,1069,3720,3734,2305,1303,93,509,902,1172,1467,0,0,80,0,0,0,128,140,0,0
Rockwall,397,5290,19428,21540,9158,3546,462,2938,5175,4656,3994,0,0,825,0,0,0,391,934,0,0
Runnels,399,644,2292,2207,1429,961,56,311,538,727,1083,0,0,83,0,0,0,82,88,0,0
Rusk,401,3158,11745,13789,7100,3522,276,1632,3363,3610,3965,0,0,304,0,0,0,380,486,0,0
Sabine,403,498,1900,1924,1725,1365,43,271,481,877,1536,0,0,91,0,0,0,54,69,0,0
San Augustine,405,438,1731,1764,1325,961,38,234,436,674,1083,0,0,57,0,0,0,62,62,0,0
San Jacinto,407,1473,5702,5711,4059,2150,129,802,1387,2063,2422,0,0,108,0,0,0,175,203,0,0
San Patricio,409,4376,16362,15669,8019,3933,383,2261,3686,4077,4428,0,0,372,0,0,0,542,696,0,0
San Saba,411,326,1316,1337,831,554,28,191,345,422,623,0,0,81,0,0,0,35,42,0,0
Schleicher,413,316,877,754,424,207,28,131,185,216,233,0,0,39,0,0,0,19,32,0,0
Scurry,415,1172,3931,4179,2109,1121,102,509,998,1073,1262,0,0,124,0,0,0,164,177,0,0
Shackelford,417,203,731,746,489,277,18,109,187,249,312,0,0,19,0,0,0,16,22,0,0
Shelby,419,1767,6020,5932,3147,1876,154,825,1418,1600,2112,0,0,148,0,0,0,206,243,0,0
Sherman,421,199,778,758,343,190,17,115,181,174,215,0,0,16,0,0,0,18,30,0,0
Smith,423,13752,52418,47583,24852,14041,1202,7302,11701,12635,15810,0,0,4275,0,0,0,1679,2464,0,0
Somervell,425,456,2030,1933,1165,592,40,290,477,593,666,0,0,109,0,0,0,58,81,0,0
Starr,427,5070,18577,14790,5465,2956,443,2383,3161,2779,3329,0,0,264,0,0,0,800,951,0,0
Stephens,429,579,2144,2179,1254,822,51,298,537,637,926,0,0,60,0,0,0,69,74,0,0
Sterling,431,81,237,258,164,88,7,33,64,83,99,0,0,11,0,0,0,8,10,0,0
Stonewall,433,75,287,302,206,166,7,44,78,104,187,0,0,19,0,0,0,5,10,0,0
Sutton,435,284,960,942,569,270,25,139,238,290,303,0,0,49,0,0,0,26,33,0,0
Swisher,437,565,1839,1832,892,631,49,240,452,453,711,0,0,52,0,0,0,75,63,0,0
Tarrant,439,131413,458467,500793,200987,75908,11486,63828,116806,102185,85477,0,0,21193,0,0,0,14718,25773,0,0
Taylor,441,9062,34995,30321,14700,8163,792,4745,7363,7474,9191,0,0,1987,0,0,0,1251,1462,0,0
Terrell,443,60,178,211,150,96,5,22,50,77,109,0,0,8,0,0,0,8,10,0,0
Terry,445,922,3105,3073,1449,859,81,431,737,737,968,0,0,67,0,0,0,101,121,0,0
Throckmorton,447,86,312,328,216,190,7,46,83,110,213,0,0,28,0,0,0,8,14,0,0
